Model,Accuracy,Precision (Risk),Recall (Risk),F1-Score (Risk)
Logistic Regression,0.6336969627843316,0.3268450406714966,0.6714310184039739,0.43966575482455866
Decision Tree,0.697573812161898,0.2913678057035171,0.2883733323182917,0.2898628354982496
KNN,0.7586521540767777,0.3747805625070033,0.19096739813105457,0.25301326340208785
Random Forest,0.782111549240696,0.46482225197084637,0.11895019317511371,0.18942551031232477
XGBoost,0.7892646483738512,0.5467128027681661,0.09021182650400625,0.15486906376096582
